,Foreign,Foreign,,,,,,,,,,,,Gross,Gross,,,,,,,of Dollar-,,,,,,,Change,,,
,Purch.,Sales,,,,,,,,,,,,Foreign,Foreign,,,,,,Net,denom.,,,,Other,,,in Banks',,,
,of,of,Domes.,,Private,Private,,,,Official,Official,,,Purch.,Sales,Foreign,,,Net,Other,Foreign,S-T U.S. ,,,,Negot.,,,Own ,,,
Rows in,Domes.,Domes.,L-T,,Treas,Gov't,Private,,,Treas,Gov't,Official,,Foreign,Foreign,L-T,Foreign,Foreign,L-T,Acquis.,Acquis.,Secur.&,,,,Instr.&,,,Net,Monthly,,
monthly,U.S.,U.S.,"Secur.,",,Bonds&,Agency,Corp,Private,,Bonds&,Agency,Corp,Official,L-T,L-T,"Secur.,",Bonds,Equity,"Secur.,",L-T,of,Other,U.S.,,,Select.,,,Dollar-,Net ,,
press,L-T,L-T,"Purch.,","Private,","Notes,","Bonds,","Bonds,","Equity,","Official,","Notes,","Bonds,","Bonds,","Equity,",Secur.,Secur.,"Purch.,","Purch.,","Purch.,",Transac.,"Secur.,",L-T,Custody,Treas.,"Private,","Official,",Other,"Private,","Official,",denom.,TIC,"Private,","Official,"
release,Secur.,Secur.,net,net,net,net,net,Net,net,net,net,net,Net,from US,to US,net,net,net,,net,Secur.,Liabs.,"Bills,",net,net,"Liabs,",net,net,Liabs.,Flows,net,net
table -->,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------
2015-Mar,2693956,2662724,31232,49059,33600,13295,16517,-14353,-17827,-23687,4158,2259,-557,987665,1001340,-13675,5311,-18986,17557,-15936,1621,13133,21350,8273,13077,-8217,-4414,-3803,-115643,-100889,-90520,-10369
2015-Feb,2490175,2477257,12918,23153,5035,8006,10130,-18,-10235,-11189,930,-753,777,792120,784092,8028,14445,-6417,20946,-19674,1272,24182,19873,8557,11316,4309,2659,1650,3395,28849,17342,11507
2015-Jan,2324062,2363677,-39615,-27587,-42645,6171,6616,2271,-12028,-12362,2937,-929,-1674,836174,823818,12356,26081,-13725,-27259,-39578,-66837,-6684,-10815,-15586,4771,4131,-2117,6248,125381,51860,24290,27570
2014-Dec,2448202,2451164,-2962,16956,1447,5254,5642,4613,-19918,-17049,-4023,859,295,753299,711143,42156,37850,4306,39194,-2221,36973,10673,24796,31473,-6677,-14123,-11393,-2730,-239130,-191484,-160521,-30963
2014-Nov,2076100,2016889,59211,53002,2703,18731,25527,6041,6209,-7536,14559,-544,-270,680118,705803,-25685,3594,-29279,33526,-11218,22308,5239,8827,3941,4886,-3588,-4138,550,-29145,-1598,3106,-4704
2014-Oct,2807884,2822841,-14957,-15431,3053,2236,6339,-27059,474,-2514,1614,1556,-182,856884,843280,13604,27574,-13970,-1353,-13140,-14493,25037,23960,12307,11653,1077,469,608,165749,176293,164431,11862
2014-Sep,2399081,2304844,94237,79682,44207,11674,19369,4432,14555,3932,9289,1331,3,853048,786914,66134,40146,25988,160371,-11228,149143,-22335,-16165,-3032,-13133,-6170,-5075,-1095,-192552,-65744,-57095,-8649
2014-Aug,2062719,2036175,26544,20667,22141,11260,-8557,-4177,5877,3563,-970,1252,2032,652729,627205,25524,8065,17459,52068,-17178,34890,18998,10226,4381,5845,8772,4885,3887,12147,66035,55278,10757
2014-Jul,1972332,1976267,-3935,1892,5175,7184,-8497,-1970,-5827,-6003,295,1408,-1527,703137,717848,-14711,-6142,-8569,-18646,-29475,-48121,-6337,-7620,672,-8292,1283,-4424,5707,117777,63319,90670,-27351
2014-Jun,2237707,2256078,-18371,-44621,-40792,-1616,-3334,1121,26250,20026,5008,-274,1490,809781,810832,-1051,-13897,12846,-19422,-11094,-30516,-4318,-15133,5056,-20189,10815,9882,933,-104150,-138984,-142404,3420
2014-May,2299865,2263271,36594,12199,8326,2824,-8978,10027,24395,19705,3732,1205,-247,777988,795171,-17183,-999,-16184,19411,-10500,8911,2294,-4954,-1782,-3172,7248,6015,1233,29933,41138,19108,22030
2014-Apr,2444915,2454908,-9993,-27952,-29406,-2358,-8226,12038,17959,18817,276,-284,-850,778901,807126,-28225,-244,-27981,-38218,-9942,-48160,-15392,-41628,-22243,-19385,26236,24560,1676,194961,131409,114123,17286
2014-Mar,2541424,2529062,12362,5953,17804,-7213,5507,-10145,6409,12050,-1391,951,-5201,813886,869986,-56100,1357,-57457,-43738,53198,9460,-2811,9848,14546,-4698,-12659,-11961,-698,-119821,-113172,-102648,-10524
2014-Feb,2226738,2137718,89020,70548,73859,-946,-1530,-835,18472,16596,2451,-527,-48,691202,691882,-680,828,-1508,88340,-7345,80995,5989,2718,8257,-5539,3271,1743,1528,77526,164510,143309,21201
2014-Jan,2350864,2369297,-18433,-1901,12074,-3793,-4912,-5270,-16532,-16661,527,27,-425,773992,751830,22162,33546,-11384,3729,-9684,-5955,8368,-8766,-4355,-4411,17134,15628,1506,92069,94482,127165,-32683
2013-Dec,2047573,2066181,-18608,-1668,28614,-8770,-7409,-14103,-16940,-11761,-5112,477,-544,588320,617749,-29429,-10165,-19264,-48037,-24901,-72938,-5497,34270,20001,14269,-39767,-39559,-208,-68458,-146893,-148120,1227
2013-Nov,2078715,2087850,-9135,-19302,-10331,-1026,-2628,-5317,10167,10208,1721,845,-2607,690383,709315,-18932,-14501,-4431,-28067,-11137,-39204,18494,21505,15947,5558,-3011,-2687,-324,19584,-1126,-15484,14358
2013-Oct,2294928,2248669,46259,50980,32826,1824,4385,11945,-4721,-1893,959,1346,-5133,751774,772366,-20592,-7927,-12665,25667,-18534,7133,11606,-15279,-23289,8010,26885,22845,4040,157944,176683,167408,9275
2013-Sep,2340349,2276391,63958,79235,51819,10068,6259,11089,-15277,-23239,4677,1882,1403,700945,732572,-31627,-24779,-6848,32331,-13149,19182,-24952,-26318,-23671,-2647,1366,-4163,5529,-101776,-107546,-105065,-2481
2013-Aug,2274339,2286363,-12024,-7212,-3457,11365,-1327,-13793,-4812,-10872,8144,1003,-3087,615193,616504,-1311,11050,-12361,-13335,-15107,-28442,-9231,17469,7198,10271,-26700,-26038,-662,17259,-20414,-32957,12543
2013-Jul,2350703,2313627,37076,32109,40587,2420,-664,-10234,4967,-15889,20090,33,733,677821,693436,-15615,417,-16032,21461,-16512,4949,-21360,-21487,-21728,241,127,-1139,1266,60090,43679,47283,-3604
2013-Jun,2627339,2705942,-78603,-82377,-40144,-5975,-10486,-25772,3774,-681,3892,1923,-1360,678502,667164,11338,14851,-3513,-67265,-32354,-99619,2966,7877,24989,-17112,-4911,-4845,-66,61400,-35253,-21970,-13283
2013-May,2768892,2767282,1610,-42173,-29284,-9260,6174,-9803,43783,40298,-1057,2978,1564,734961,761786,-26825,-10731,-16094,-25215,-19310,-44525,-35842,-38996,-19604,-19392,3154,993,2161,142466,62099,52043,10056
2013-Apr,2374591,2384452,-9861,-2719,-14993,6793,-4735,10216,-7142,-23781,16029,-184,794,721753,734189,-12436,4779,-17215,-22297,-19648,-41945,-28041,-17399,-12574,-4825,-10642,-10321,-321,120898,50912,80500,-29588
2013-Mar,2241959,2243916,-1957,-6576,5894,-8018,-8525,4073,4619,-17097,16675,1868,3173,683526,711229,-27703,-831,-26872,-29660,-18284,-47944,33854,33444,14970,18474,410,-920,1330,-2768,-16858,-52817,35959
2013-Feb,2313026,2302415,10611,12946,9079,-2167,8255,-2221,-2335,-6783,3743,1006,-301,624095,649207,-25112,-6109,-19003,-14501,-19313,-33814,11484,15819,7324,8495,-4335,-3763,-572,60130,37800,29387,8413
2013-Jan,2057516,2007400,50116,-12587,-21292,-963,4874,4794,62703,53050,5410,2994,1249,689836,712546,-22710,-2816,-19894,27406,-21544,5862,11304,10661,6303,4358,643,-540,1183,86409,103575,56417,47158
2012-Dec,1773389,1697680,75709,66559,21562,18865,1483,24649,9150,8366,-734,943,575,579363,590451,-11088,-6230,-4858,64621,-21219,43402,-5609,-12623,-1891,-10732,7014,5866,1148,-20334,17459,18316,-857
2012-Nov,1818113,1753373,64740,64659,28084,8015,5955,22605,81,-3512,1448,2235,-90,627619,637590,-9971,-3226,-6745,54769,-39293,15476,7848,4386,323,4063,3462,2659,803,-3438,19886,35459,-15573
2012-Oct,2095329,2061737,33592,27418,6660,14971,3361,2426,6174,7116,-3034,857,1235,666402,691834,-25432,-25528,96,8160,-21830,-13670,-2201,-10280,-5912,-4368,8079,8483,-404,-50787,-66658,-65157,-1501
2012-Sep,1989438,1967050,22388,7258,-22522,14223,-8610,24167,15130,2231,9807,2692,400,621457,636327,-14870,-21666,6796,7518,-21673,-14155,17148,23171,12385,10786,-6023,-5250,-773,25236,28229,13251,14978
2012-Aug,2051086,1968215,82871,52816,19687,16307,11326,5496,30055,18967,9403,1565,120,520923,509997,10926,13412,-2486,93797,-17862,75935,45958,41026,24905,16121,4932,6031,-1099,-69464,52429,13157,39272
2012-Jul,1924103,1851574,72529,47275,24525,16516,-1089,7323,25254,31855,-8016,615,800,557665,549543,8122,8885,-763,80651,-19055,61596,-10383,-11816,-4199,-7617,1433,-569,2002,30662,81875,66248,15627
2012-Jun,1998418,1988881,9537,256,10578,16620,-20763,-6179,9281,22924,-14337,-2807,3501,601440,595777,5663,11650,-5987,15200,-17811,-2611,-2020,416,-1974,2390,-2436,-220,-2216,32649,28018,38440,-10422
2012-May,2333077,2249134,83943,51483,52732,4420,-7055,1386,32460,22192,8479,651,1138,639541,632911,6630,16241,-9611,90573,-17415,73158,1257,9372,-4774,14146,-8115,-7496,-619,59247,133662,90034,43628
2012-Apr,2137141,2095639,41502,25777,27466,2032,-3708,-13,15725,19231,-6194,469,2219,614966,615192,-226,3226,-3452,41276,-19102,22174,1001,-13864,-3578,-10286,14865,15419,-554,-2935,20240,13348,6892
2012-Mar,2222920,2200313,22607,-5660,-16545,9239,-3314,4960,28267,34025,-5373,-811,426,719351,705320,14031,17329,-3298,36638,-18023,18615,-3929,2075,6380,-4305,-6004,-5018,-986,-56487,-41801,-53005,11204
2012-Feb,2194600,2172110,22490,2119,-174,1726,-7804,8371,20371,13337,7433,699,-1098,644462,659368,-14906,-8583,-6323,7584,-13542,-5958,60092,27714,15633,12081,32378,32566,-188,48121,102255,77543,24712
2012-Jan,2055745,1953534,102211,68259,54535,11276,-806,3254,33952,33124,-135,-157,1120,592256,582340,9916,14367,-4451,112127,-17125,95002,-45845,-43289,-36508,-6781,-2556,-4595,2039,-52634,-3477,-12505,9028
2011-Dec,1651967,1669547,-17580,-8056,7164,16397,-19329,-12288,-9524,-20277,10818,-1385,1320,543369,504881,38488,28168,10320,20908,-16669,4239,-16107,-1819,19615,-21434,-14288,-10519,-3769,113780,101912,126775,-24863
2011-Nov,2121703,2057055,64648,46966,37123,11451,3549,-5157,17682,23666,-5283,1286,-1987,588115,584794,3321,1969,1352,67969,-16063,51906,33470,26287,22135,4152,7183,5602,1581,-44161,41215,21224,19991
2011-Oct,2172249,2153833,18416,22450,27503,4052,-10938,1833,-4034,-5972,658,361,919,574173,578281,-4108,-1918,-2190,14308,-14172,136,-41862,-11922,871,-12793,-29940,-23822,-6118,7163,-34563,3082,-37645
2011-Sep,2343668,2267194,76474,39594,55944,8230,-5214,-19366,36880,38425,-1791,278,-32,575230,575266,-36,-2028,1992,76438,-12547,63891,-2038,3366,25293,-21927,-5404,-1370,-4034,13297,75150,87064,-11914
2011-Aug,3201870,3132863,69007,77603,76712,8570,-1173,-6506,-8596,-9679,-877,1974,-14,631068,642149,-11081,-7923,-3158,57926,-10563,47363,23938,28369,11104,17265,-4431,-5509,1078,29388,100689,68501,32188
2011-Jul,2099434,2075536,23898,9369,1151,6427,2251,-460,14529,14166,1354,-373,-618,590679,612592,-21913,-5974,-15939,1985,-16812,-14827,-48720,-37990,-18828,-19162,-10730,-10122,-608,-12484,-76031,-65501,-10530
2011-Jun,2574174,2581203,-7029,-16079,-9392,2148,-11784,2949,9050,11283,-2383,-694,844,698184,688895,9289,7648,1641,2260,-11547,-9287,-5322,-4831,7296,-12127,-491,-4201,3710,-8483,-23092,-22352,-740
2011-May,2481389,2427804,53585,30313,27090,-9179,4530,7872,23272,21628,647,-377,1374,648978,681205,-32227,-25831,-6396,21358,-15293,6065,-10064,-8659,-10249,1590,-1405,-55,-1350,-23302,-27301,-42526,15226
2011-Apr,2030770,1985477,45293,13752,-4387,5079,-3556,16616,31541,29556,1834,-1029,1180,639119,662666,-23547,-10420,-13127,21746,-12993,8753,-35,-10060,-16798,6738,10025,9225,800,50165,58883,13558,45325
2011-Mar,2663478,2606231,57247,46835,21877,9165,1156,14637,10412,7448,2688,354,-78,781835,825160,-43325,-29419,-13906,13922,-11984,1938,-13725,-14829,2663,-17492,1104,4131,-3027,149223,137436,144878,-7442
2011-Feb,2281075,2247625,33450,13554,17027,-6842,-3262,6631,19896,15705,5797,-1066,-540,636273,648063,-11790,1649,-13439,21660,-14867,6793,3262,-1288,5216,-6504,4550,7638,-3088,81427,91482,85608,5874
2011-Jan,2197052,2121086,75966,46325,30604,2085,-226,13862,29641,18206,9859,-508,2084,592275,619673,-27398,-8546,-18852,48568,-20725,27843,-22395,-29231,-5844,-23387,6836,4992,1844,28748,34196,47164,-12968
2010-Dec,2141232,2068466,72766,60043,39297,10499,3560,6687,12723,13748,-445,-656,76,550766,562227,-11461,-2978,-8483,61305,-20761,40544,-35710,-31563,5327,-36890,-4147,-486,-3661,54558,59392,100390,-40998
2010-Nov,2537187,2444803,92384,72074,44032,10034,3468,14540,20310,16641,3968,944,-1243,602279,610304,-8025,605,-8630,84359,-20020,64339,-42756,-22299,9804,-32103,-20457,-16608,-3849,8390,29973,60475,-30502
2010-Oct,2043423,1995061,48362,55546,24005,6986,7397,17158,-7184,-693,-5317,-214,-960,611674,630643,-18969,-9005,-9964,29393,-20750,8643,20253,16650,-10235,26885,3603,6099,-2496,-27196,1700,-14703,16403
2010-Sep,2154239,2075285,78954,69380,35761,7775,4445,21399,9574,41390,-31336,279,-759,606975,610486,-3511,1950,-5461,75443,-20998,54445,-27516,-23227,-32027,8800,-4289,-5361,1072,58686,85615,71488,14127
2010-Aug,2125005,1989496,135509,112911,87413,13282,7677,4539,22598,30599,-8223,-165,387,487664,496686,-9022,-15952,6930,126487,-28118,98369,35115,32384,18621,13763,2731,-1851,4582,-114096,19388,-13071,32459
2010-Jul,1694366,1621629,72737,68465,21934,28686,5487,12358,4272,8224,-4163,-135,346,513464,526762,-13298,-7129,-6169,59439,-17710,41729,16672,11473,-15975,27448,5199,4380,819,15921,74322,51618,22704
2010-Jun,2085038,2055534,29504,12861,20341,14636,-17460,-4656,16643,11387,4857,-31,430,583046,569557,13489,9400,4089,42993,-21428,21565,11698,12920,25444,-12524,-1222,-1144,-78,-42370,-9107,3224,-12331
2010-May,2321546,2293846,27700,19574,8844,22939,-13161,952,8126,6145,3341,-404,-956,675064,670862,4202,14194,-9992,31902,-21639,10263,-12332,-7988,23593,-31581,-4344,-4011,-333,20373,18304,57432,-39128
2010-Apr,1997998,1890846,107152,89411,62536,9658,8107,9110,17741,14650,2788,-364,667,713113,742634,-29521,-16175,-13346,77631,-20900,56731,2931,-3875,-1082,-2793,6806,1800,5006,-50354,9308,-6195,15503
2010-Mar,2308374,2152823,155551,122816,79360,18005,13689,11762,32735,28288,2564,1557,326,770784,786638,-15854,-13028,-2826,139697,-20186,119511,13074,24697,19927,4770,-11623,-14526,2903,-136161,-3576,-22476,18900
2010-Feb,1899648,1848391,51257,52416,47074,4952,-12222,12612,-1159,1128,-2366,-275,354,619049,620954,-1905,-499,-1406,49352,-6063,43289,-33006,-4922,514,-5436,-28084,-27317,-767,8583,18866,42336,-23470
2010-Jan,1708973,1672561,36412,40604,61020,-1276,-24938,5798,-4192,558,-3825,261,-1186,589920,611304,-21384,-16027,-5357,15028,-16134,-1106,-29587,-44407,-18308,-26099,14820,16088,-1268,26384,-4309,32856,-37165
2009-Dec,1757844,1675924,81920,59957,45495,3012,-7228,18678,21963,24322,-2961,-704,1306,452538,460737,-8199,-6622,-1577,73721,-13238,60483,-68767,-53753,-911,-52842,-15014,-14860,-154,74286,66002,89287,-23285
2009-Nov,1894293,1765391,128902,95606,86691,3475,-4314,9754,33296,31184,2433,-290,-31,481994,484480,-2486,-5098,2612,126416,-14055,112361,-29117,-20518,-7593,-12925,-8599,-13207,4608,-55927,27317,30423,-3106
2009-Oct,1992352,1949346,43006,28383,23867,-3880,-1350,9746,14623,15043,-1478,506,552,555419,579110,-23691,-19364,-4327,19315,-12285,7030,-72561,-37907,-38597,690,-34654,-32271,-2383,42371,-23160,-43761,20601
2009-Sep,1815083,1758868,56215,45356,25719,6685,-2491,15443,10859,18966,-8312,-24,229,490228,505228,-15000,-15530,530,41215,-13587,27628,-16216,-5214,8930,-14144,-11002,-5350,-5652,76024,87436,110490,-23054
2009-Aug,1744013,1704775,39238,27611,14874,6202,-5542,12077,11627,13183,-1609,-126,179,389779,392637,-2858,10024,-12882,36380,-16133,20247,-18913,-2703,-3417,714,-16210,-9747,-6463,16847,18181,29254,-11073
2009-Jul,1649558,1603774,45784,33889,15531,2746,-9602,25214,11895,15721,-7183,-1221,4578,438483,466879,-28396,-14174,-14222,17388,-19864,-2476,-3195,13691,-21003,34694,-16886,-8346,-8540,-62085,-67756,-95919,28163
2009-Jun,2040690,1915295,125395,106956,78001,13693,-2427,17689,18439,22498,-5816,-434,2191,485250,518679,-33429,-19514,-13915,91966,-21630,70336,-37063,-9203,5071,-14274,-27860,-22815,-5045,-126124,-92851,-86598,-6253
2009-May,1548283,1539016,9267,32639,-813,13741,1756,17955,-23372,-21763,-600,-937,-72,400015,426877,-26862,-16051,-10811,-17595,-19224,-36819,24694,53041,-2543,55584,-28347,-25475,-2872,-22976,-35101,-46057,10956
2009-Apr,1485350,1451205,34145,18164,24844,1130,-10801,2991,15981,17125,-3502,1436,922,381893,404590,-22697,-13769,-8928,11448,-21194,-9746,-43163,-45611,-33471,-12140,2448,-1725,4173,-7698,-60607,-60643,36
2009-Mar,1757790,1696086,61704,35543,26215,-12933,8231,14030,26161,29026,-2733,-861,729,380302,381238,-936,-344,-592,60768,-20263,40505,28649,48595,27060,21535,-19946,-11860,-8086,-11452,57702,47388,10314
2009-Feb,1457044,1434484,22560,27619,23694,5264,2999,-4338,-5059,-1959,-3229,-5,134,314902,313376,1526,-112,1638,24086,-17137,6949,38493,68454,34195,34259,-29961,-19076,-10885,-185900,-140458,-147766,7308
2009-Jan,1337429,1346708,-9279,-720,12864,-7720,-7680,1816,-8559,-1940,-7916,335,962,350637,374443,-23806,-26920,3114,-33085,-16540,-49625,30381,-16445,-45481,29036,46826,43563,3263,-133791,-153035,-168608,15573
2008-Dec,1493240,1470189,23051,25895,10733,-24448,38149,1461,-2844,3851,-12863,3533,2635,357207,344479,12728,12243,485,35779,-10084,25695,1798,25952,-4772,30724,-24154,-6072,-18082,52869,80362,77406,2956
2008-Nov,1562044,1621320,-59276,-22158,420,-10558,-15342,3322,-37118,-26204,-11674,-873,1633,416850,385370,31480,10218,21262,-27796,-12113,-39909,50197,81776,15174,66602,-31579,-7529,-24050,68084,78372,90081,-11709
2008-Oct,2514666,2548144,-33478,-15828,34189,-33394,-13822,-2801,-17650,-1486,-16468,439,-135,651361,623274,28087,6694,21393,-5391,-14328,-19719,92793,145489,61720,83769,-52696,-14803,-37893,199864,272938,260893,12045
2008-Sep,3081762,3054076,27686,32521,15172,13174,-7289,11464,-4835,4944,-8677,-1150,48,710003,678590,31413,33885,-2472,59099,-13248,45851,17080,93582,62363,31219,-76502,-68152,-8350,22275,85206,73946,11260
2008-Aug,2163947,2169411,-5464,4759,27989,-11043,-12620,433,-10223,4848,-13146,-510,-1415,585737,565515,20222,17371,2851,14758,-12959,1799,22875,31739,18641,13098,-8864,-750,-8114,5974,30648,35565,-4917
2008-Jul,2819516,2837486,-17970,-13119,23944,-25906,-4310,-6847,-4851,10068,-16160,172,1069,720370,689268,31102,14208,16894,13132,-14710,-1578,-1039,2729,-3110,5839,-3768,-10036,6268,-14936,-17553,-33438,15885
2008-Jun,2794173,2733898,60275,45399,26909,20216,583,-2309,14876,1105,9142,4102,527,689343,705484,-16141,-17808,1667,44134,-16648,27486,4281,8010,1323,6687,-3729,-5778,2049,63027,94794,73170,21624
2008-May,2599231,2496080,103151,86715,5524,14493,50754,15944,16436,-3724,11036,9088,36,677255,706422,-29167,-11061,-18106,73984,-22668,51316,3252,9211,4936,4275,-5959,6380,-12339,-99962,-45394,-55209,9815
2008-Apr,2584570,2482354,102216,60957,54294,1178,17490,-12005,41259,22298,11012,7513,436,698861,691526,7335,7580,-245,109551,-21110,88441,-14048,3851,-9904,13755,-17899,-4960,-12939,-3808,70585,47719,22866
2008-Mar,3066483,2992661,73822,25373,22992,197,-8779,10963,48449,28011,15937,4088,413,752527,756524,-3997,-1075,-2922,69825,-20341,49484,5317,29074,32123,-3049,-23757,-16508,-7249,-107045,-52244,-57901,5657
2008-Feb,2913130,2846005,67125,60384,15834,32363,14907,-2720,6741,-3594,1203,4360,4772,684021,700490,-16469,1811,-18280,50656,-18219,32437,-624,14538,18608,-4070,-15162,-9567,-5595,12554,44367,55983,-11616
2008-Jan,3132110,3058359,73751,20991,662,16352,-552,4529,52760,36101,-630,3946,13343,771368,793773,-22405,-20124,-2281,51346,-17740,33606,50796,11521,872,10649,39275,32377,6898,-47663,36739,-50573,87312
2007-Dec,2313598,2249675,63923,28143,-10557,-11339,29081,20958,35780,10980,4080,8218,12502,601133,616844,-15711,-15708,-3,48212,-13696,34516,30465,15679,4891,10788,14786,13741,1045,-26779,38202,-11233,49435
2007-Nov,2901782,2837654,64128,52363,19447,17466,11182,4268,11765,378,6007,4898,482,731675,713753,17922,8306,9616,82050,-16705,65345,37608,16023,11304,4719,21585,4433,17152,17707,120660,77619,43041
2007-Oct,2683180,2550204,132976,111157,50944,4830,25473,29910,21819,3980,10048,7437,354,811054,815092,-4038,-9063,5025,128938,-19671,109267,34190,8787,5796,2991,25403,5979,19424,-53034,90423,50046,40377
2007-Sep,2339108,2284801,54307,26028,9930,2288,11287,2523,28279,14370,9194,4631,84,560501,600879,-40378,-19080,-21298,13929,-24170,-10241,-1074,-6644,-6081,-563,5570,-2462,8032,-23895,-35210,-46516,11306
2007-Aug,3335251,3372985,-37734,-13485,25168,4292,-3940,-39005,-24249,-29685,4063,2985,-1612,826274,861422,-35148,-22359,-12789,-72882,-20520,-93402,30896,21790,17754,4036,9106,-17927,27033,-80701,-143207,-119888,-23319
2007-Jul,2473707,2448484,25223,20835,-2435,1199,3694,18377,4388,-6925,7468,1030,2815,743824,757883,-14059,830,-14889,11164,-29190,-18026,54344,18299,2944,15355,36045,35034,1011,48627,84945,48950,35995
2007-Jun,2624823,2501073,123750,95967,17870,23601,26278,28218,27783,6433,15993,3702,1655,721692,736794,-15102,-6659,-8443,108648,-20242,88406,-27053,-17695,-5957,-11738,-9358,-13844,4486,-26888,34465,3922,30543
2007-May,2429804,2259692,170112,158610,27248,14251,74394,42717,11502,-4590,12793,3972,-673,735081,769441,-34360,-21773,-12587,135752,-19685,116067,-17756,-4341,1096,-5437,-13415,-13809,394,3073,101384,104454,-3070
2007-Apr,2028855,1931037,97818,72505,-8901,22430,30717,28259,25313,9364,13691,2911,-653,624237,638253,-14016,-11026,-2990,83802,-13121,70681,-22570,-28530,-11422,-17108,5960,10632,-4672,35970,84081,72087,11994
2007-Mar,2719330,2617437,101893,81120,29724,-960,43286,9070,20773,1377,16108,2873,415,697180,739933,-42753,-32714,-10039,59140,-17854,41286,39501,19875,6513,13362,19626,14598,5028,-31472,49315,19220,30095
2007-Feb,2047570,1962472,85098,72511,15527,678,44139,12167,12587,2172,4545,5553,317,587649,606242,-18593,-4135,-14458,66505,-20754,45751,21564,4977,4533,444,16587,15603,984,27499,94814,62843,31971
2007-Jan,1833591,1709263,124328,112344,21008,21186,47198,22952,11984,-4860,15067,2356,-579,548794,561763,-12969,-524,-12445,111359,-18913,92446,17919,1432,-3095,4527,16487,20216,-3729,-19799,90566,66045,24521
2006-Dec,1843410,1780415,62995,39032,4282,12300,33502,-11052,23963,6092,15506,2864,-499,510763,561921,-51158,-31566,-19592,11837,-16270,-4433,9104,-4340,4995,-9335,13444,7665,5779,-19368,-14697,-43506,28809
2006-Nov,1918450,1798464,119986,113893,32345,11771,60576,9201,6093,1016,3955,3220,-2098,526205,559050,-32845,-11186,-21659,87141,-25022,62119,16012,9222,1530,7692,6790,7921,-1131,11634,89765,79831,9934
2006-Oct,1869757,1763629,106128,80806,6894,8508,37894,27510,25322,18463,5260,2006,-407,498816,515644,-16828,-9006,-7822,89300,-12424,76876,410,3768,4688,-920,-3358,8022,-11380,2114,79400,87393,-7993
2006-Sep,1751036,1645600,105436,88827,-5296,17580,61159,15384,16609,7589,7872,1830,-682,417691,441422,-23731,-15153,-8578,81705,-13857,67848,-11283,-15038,-4469,-10569,3755,5336,-1581,25272,81837,72166,9671
2006-Aug,1749716,1620516,129200,100151,26424,23586,42264,7877,29049,16482,9599,2761,207,419747,423672,-3925,-10154,6229,125275,-12848,112427,5562,2252,-1756,4008,3310,11112,-7802,-6005,111984,100098,11886
2006-Jul,1571870,1507670,64200,38636,1169,5708,19088,12671,25564,9713,13108,1119,1624,381138,401187,-20049,-17501,-2548,44151,-15878,28273,25544,4197,2918,1279,21347,24024,-2677,14801,68618,38400,30218
